STOCK,HOLDER NAME, SHARES 
ALI PM Equity,"AYALA LAND, INC.", 509.00 
BDO PM Equity,UPCC SECURITIES CORP.," 118,195.00 "
BDO PM Equity,"A & A SECURITIES, INC."," 3,828,659.00 "
BDO PM Equity,ABACUS SECURITIES CORPORATION," 853,385.00 "
BDO PM Equity,PHILSTOCKS FINANCIAL INC," 798,149.00 "
BDO PM Equity,A. T. DE CASTRO SECURITIES CORP.," 212,476.00 "
BDO PM Equity,ALL ASIA SECURITIES MANAGEMENT CORP., 144.00 
BDO PM Equity,ALPHA SECURITIES CORP.," 91,836.00 "
BDO PM Equity,"BA SECURITIES, INC."," 97,308.00 "
BDO PM Equity,AP SECURITIES INCORPORATED," 1,773,542.00 "
BDO PM Equity,"ANSALDO, GODINEZ & CO., INC."," 560,641.00 "
BDO PM Equity,"AB CAPITAL SECURITIES, INC."," 3,747,223.00 "
BDO PM Equity,"SARANGANI SECURITIES, INC."," 3,910.00 "
BDO PM Equity,"SB EQUITIES, INC."," 9,869,260.00 "
BDO PM Equity,ASIA PACIFIC CAPITAL EQUITIES & SECURITIES CORP.," 6,660.00 "
BDO PM Equity,"ASIASEC EQUITIES, INC."," 836,048.00 "
BDO PM Equity,ASTRA SECURITIES CORPORATION," 959,040.00 "
BDO PM Equity,CHINA BANK SECURITIES CORPORATION," 1,083,788.00 "
BDO PM Equity,"BELSON SECURITIES, INC."," 1,850,534.00 "
BDO PM Equity,"BENJAMIN CO CA & CO., INC."," 2,079.00 "
BDO PM Equity,B. H. CHUA SECURITIES CORPORATION," 20,744.00 "
BDO PM Equity,JAKA SECURITIES CORP.," 4,528.00 "
BDO PM Equity,BPI SECURITIES CORPORATION," 7,055,340.00 "
BDO PM Equity,"CAMPOS, LANUZA & COMPANY, INC."," 192,856.00 "
BDO PM Equity,SINCERE SECURITIES CORPORATION," 56,552.00 "
BDO PM Equity,CENTURY SECURITIES CORPORATION," 89,620.00 "
BDO PM Equity,"CTS GLOBAL EQUITY GROUP, INC."," 1,443,436.00 "
BDO PM Equity,"LUNA SECURITIES, INC.", 158.00 
BDO PM Equity,TRITON SECURITIES CORP.," 388,211.00 "
BDO PM Equity,IGC SECURITIES INC.," 901,222.00 "
BDO PM Equity,CUALOPING SECURITIES CORPORATION," 23,852.00 "
BDO PM Equity,DAVID GO SECURITIES CORP.," 819,517.00 "
BDO PM Equity,"DIVERSIFIED SECURITIES, INC."," 19,612.00 "
BDO PM Equity,"E. CHUA CHIACO SECURITIES, INC."," 713,821.00 "
BDO PM Equity,EQUITABLE SECURITIES (PHILS.) INC., 3.00 
BDO PM Equity,EAST WEST CAPITAL CORPORATION," 9,267.00 "
BDO PM Equity,EASTERN SECURITIES DEVELOPMENT CORPORATION," 2,189,784.00 "
BDO PM Equity,"EQUITIWORLD SECURITIES, INC."," 13,134.00 "
BDO PM Equity,"EVERGREEN STOCK BROKERAGE & SEC., INC."," 715,272.00 "
BDO PM Equity,"FIRST ORIENT SECURITIES, INC."," 72,207.00 "
BDO PM Equity,"FIRST INTEGRATED CAPITAL SECURITIES, INC."," 114,598.00 "
BDO PM Equity,"F. YAP SECURITIES, INC."," 173,251.00 "
BDO PM Equity,"AURORA SECURITIES, INC."," 59,508.00 "
BDO PM Equity,"GLOBALINKS SECURITIES & STOCKS, INC."," 662,731.00 "
BDO PM Equity,"JSG SECURITIES, INC."," 873,072.00 "
BDO PM Equity,"GOLDSTAR SECURITIES, INC."," 260,442.00 "
BDO PM Equity,"GUILD SECURITIES, INC."," 776,583.00 "
BDO PM Equity,"HDI SECURITIES, INC."," 423,072.00 "
BDO PM Equity,"H. E. BENNETT SECURITIES, INC."," 342,744.00 "
BDO PM Equity,"HIGHLAND SECURITIES PHIL., INC.", 100.00 
BDO PM Equity,"HK SECURITIES, INC.", 19.00 
BDO PM Equity,"I. ACKERMAN & CO., INC."," 7,229.00 "
BDO PM Equity,"I. B. GIMENEZ SECURITIES, INC."," 67,999.00 "
BDO PM Equity,"INVESTORS SECURITIES, INC."," 462,452.00 "
BDO PM Equity,"IMPERIAL, DE GUZMAN, ABALOS & CO., INC."," 154,760.00 "
BDO PM Equity,"INTRA-INVEST SECURITIES, INC."," 548,941.00 "
BDO PM Equity,"ASIAN CAPITAL EQUITIES, INC."," 9,219.00 "
BDO PM Equity,VALUE QUEST SECURITIES CORPORATION," 75,198.00 "
BDO PM Equity,STRATEGIC EQUITIES CORP.," 769,339.00 "
BDO PM Equity,"LARRGO SECURITIES CO., INC."," 5,191.00 "
BDO PM Equity,"LIPPO SECURITIES, INC.", 64.00 
BDO PM Equity,"LITONJUA SECURITIES, INC."," 47,300.00 "
BDO PM Equity,"LOPEZ, LOCSIN, LEDESMA & CO., INC."," 145,625.00 "
BDO PM Equity,"LUCKY SECURITIES, INC."," 1,419,947.00 "
BDO PM Equity,"LUYS SECURITIES COMPANY, INC."," 11,007.00 "
BDO PM Equity,MANDARIN SECURITIES CORPORATION," 1,282,081.00 "
BDO PM Equity,"MARIAN SECURITIES, INC.", 28.00 
BDO PM Equity,MARINO OLONDRIZ Y CIA," 100,642.00 "
BDO PM Equity,"COL Financial Group, Inc."," 72,119,345.00 "
BDO PM Equity,"DA MARKET SECURITIES, INC."," 116,194.00 "
BDO PM Equity,MERCANTILE SECURITIES CORP.," 48,520.00 "
BDO PM Equity,"MERIDIAN SECURITIES, INC."," 350,488.00 "
BDO PM Equity,"MDR SECURITIES, INC."," 202,565.00 "
BDO PM Equity,"REGIS PARTNERS, INC."," 1,807,030.00 "
BDO PM Equity,"MOUNT PEAK SECURITIES, INC.", 320.00 
BDO PM Equity,"NEW WORLD SECURITIES CO., INC."," 2,500.00 "
BDO PM Equity,OPTIMUM SECURITIES CORPORATION," 169,401.00 "
BDO PM Equity,"RCBC SECURITIES, INC."," 678,848.00 "
BDO PM Equity,PAN ASIA SECURITIES CORP.," 386,337.00 "
BDO PM Equity,PAPA SECURITIES CORPORATION," 11,738,888.00 "
BDO PM Equity,"MAYBANK SECURITIES, INC."," 17,481,833.00 "
BDO PM Equity,"PLATINUM SECURITIES, INC."," 270,662.00 "
BDO PM Equity,"PNB SECURITIES, INC."," 276,984.00 "
BDO PM Equity,"PREMIUM SECURITIES, INC."," 541,687.00 "
BDO PM Equity,"PRYCE SECURITIES, INC."," 2,325.00 "
BDO PM Equity,SALISBURY SECURITIES CORPORATION," 69,960.00 "
BDO PM Equity,QUALITY INVESTMENTS & SECURITIES CORPORATION," 3,225,225.00 "
BDO PM Equity,"R & L INVESTMENTS, INC."," 1,658.00 "
BDO PM Equity,ALAKOR SECURITIES CORPORATION," 48,930.00 "
BDO PM Equity,"R. COYIUTO SECURITIES, INC."," 223,878.00 "
BDO PM Equity,REGINA CAPITAL DEVELOPMENT CORPORATION," 606,840.00 "
BDO PM Equity,"R. NUBLA SECURITIES, INC."," 1,822,612.00 "
BDO PM Equity,"AAA SOUTHEAST EQUITIES, INCORPORATED"," 83,890.00 "
BDO PM Equity,"R. S. LIM & CO., INC."," 602,504.00 "
BDO PM Equity,"RTG & COMPANY, INC."," 116,608.00 "
BDO PM Equity,"S.J. ROXAS & CO., INC."," 85,886.00 "
BDO PM Equity,"SECURITIES SPECIALISTS, INC."," 264,942.00 "
BDO PM Equity,"FIDELITY SECURITIES, INC."," 4,059.00 "
BDO PM Equity,"SUMMIT SECURITIES, INC."," 478,933.00 "
BDO PM Equity,STANDARD SECURITIES CORPORATION," 423,084.00 "
BDO PM Equity,"SUPREME STOCKBROKERS, INC"," 89,212.00 "
BDO PM Equity,"TANSENGCO & CO., INC."," 289,739.00 "
BDO PM Equity,THE FIRST RESOURCES MANAGEMENT & SECURITIES CORP.," 198,625.00 "
BDO PM Equity,"TOWER SECURITIES, INC."," 646,206.00 "
BDO PM Equity,APEX PHILIPPINES EQUITIES CORPORATION," 15,631.00 "
BDO PM Equity,TRENDLINE SECURITIES CORPORATION," 4,977.00 "
BDO PM Equity,"DRAGONFI SECURITIES, INC."," 15,960.00 "
BDO PM Equity,"LANDBANK SECURITIES, INC."," 413,365.00 "
BDO PM Equity,"E.SECURITIES, INC."," 5,378.00 "
BDO PM Equity,"VENTURE SECURITIES, INC."," 91,676.00 "
BDO PM Equity,FIRST METRO SECURITIES BROKERAGE CORP.," 8,138,552.00 "
BDO PM Equity,"WEALTH SECURITIES, INC."," 12,217,542.00 "
BDO PM Equity,"WESTLINK GLOBAL EQUITIES, INC."," 10,500.00 "
BDO PM Equity,"BERNAD SECURITIES, INC."," 225,711.00 "
BDO PM Equity,WONG SECURITIES CORPORATION," 13,570.00 "
BDO PM Equity,"YAO & ZIALCITA, INC."," 386,546.00 "
BDO PM Equity,"YU & COMPANY, INC."," 423,548.00 "
BDO PM Equity,BDO SECURITIES CORPORATION," 62,666,345.00 "
BDO PM Equity,"EAGLE EQUITIES, INC."," 157,117.00 "
BDO PM Equity,"GOLDEN TOWER SECURITIES & HOLDINGS, INC."," 44,048.00 "
BDO PM Equity,"SOLAR SECURITIES, INC."," 2,740,509.00 "
BDO PM Equity,"G.D. TAN & COMPANY, INC."," 77,392.00 "
BDO PM Equity,"CLSA PHILIPPINES, INC."," 36,699.00 "
BDO PM Equity,"PHILIPPINE EQUITY PARTNERS, INC."," 402,296.00 "
BDO PM Equity,UNICAPITAL SECURITIES INC.," 1,490,719.00 "
BDO PM Equity,"SunSecurities, Inc."," 739,176.00 "
BDO PM Equity,"COHERCO SECURITIES, INC."," 26,200.00 "
BDO PM Equity,"ARMSTRONG SECURITIES, INC."," 25,998.00 "
BDO PM Equity,"TIMSON SECURITIES, INC."," 218,200.00 "
BDO PM Equity,STAR ALLIANCE SECURITIES CORP.," 150,100.00 "
BDO PM Equity,VC SECURITIES CORPORATION," 35,700.00 "
BDO PM Equity,CHINA BANKING CORPORATION - TRUST GROUP," 3,007,780.00 "
BDO PM Equity,CITIBANK N.A.," 324,677,112.00 "
BDO PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 68,412,276.00 "
BDO PM Equity,THE HONGKONG & SHANGHAI BANKING CORP. LTD. -OWN ACCOUNT," 1,676.00 "
BDO PM Equity,BANCO DE ORO - TRUST BANKING GROUP," 131,934,760.00 "
BDO PM Equity,BANK OF COMMERCE - TRUST SERVICES GROUP," 29,890.00 "
BDO PM Equity,PNB TRUST BANKING GROUP," 3,242,156.00 "
BDO PM Equity,RCBC TRUST CORPORATION," 2,204,056.00 "
BDO PM Equity,RCBC TRUST CORPORATION," 1,165,422.00 "
BDO PM Equity,STERLING BANK OF ASIA TRUST GROUP," 1,200.00 "
BDO PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 374,831,378.00 "
BDO PM Equity,STANDARD CHARTERED BANK," 299,472,152.00 "
BDO PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 748,176,939.00 "
BDO PM Equity,UNITED COCONUT PLANTERS LIFE ASSURANCE CORPORATION," 172,001.00 "
BDO PM Equity,ASIA UNITED BANK - TRUST & INVESTMENT GROUP," 85,334.00 "
BDO PM Equity,MBTC - TRUST BANKING GROUP," 20,746,682.00 "
BDO PM Equity,SOCIAL SECURITY SYSTEM," 12,817,804.00 "
BDO PM Equity,GOVERNMENT SERVICE INSURANCE SYSTEM," 8,472,301.00 "
BDO PM Equity,AB CAPITAL & INVESTMENT CORP. - TRUST & INVESTMENT DIV.," 4,051,025.00 "
BDO PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C, 2.00 
BDO PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 43,080,687.00 "
BDO PM Equity,THE HONGKONG & SHANGHAI BANKING CORP. LTD. -OWN ACCOUNT, 1.00 
BDO PM Equity,LAND BANK OF THE PHILIPPINES-TRUST BANKING GROUP," 784,855.00 "
BDO PM Equity,"UCPB GENERAL INSURANCE CO., INC."," 360,310.00 "
BDO PM Equity,LBP-TBG THIRD PARTY CUSTODIANSHIP & REGISTRY DEPT," 15,931,800.00 "
BDO PM Equity,"UNITED FUND, INC."," 253,204.00 "
BDO PM Equity,"MAA GENERAL ASSURANCE PHILS., INC."," 520,600.00 "
BDO PM Equity,EASTWEST BANKING CORPORATION - TRUST DIVISION," 830,080.00 "
BDO PM Equity,SSS PROVIDENT FUND," 3,251,000.00 "
BDO PM Equity,"MALAYAN INSURANCE COMPANY, INC."," 204,000.00 "
BDO PM Equity,COL Inv Mgt Inc as Investment Company Adviser for Various Mutual Funds," 664,159.00 "
BDO PM Equity,"SEEDBOX SECURITIES, INC."," 125,100.00 "
JFC PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 108,717,539.00 "
JFC PM Equity,CITIBANK N.A.," 90,334,591.00 "
JFC PM Equity,STANDARD CHARTERED BANK," 67,516,711.00 "
JFC PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 59,100,921.00 "
JFC PM Equity,"REGIS PARTNERS, INC."," 34,030,442.00 "
JFC PM Equity,FIRST METRO SECURITIES BROKERAGE CORP.," 21,267,092.00 "
JFC PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 15,692,484.00 "
JFC PM Equity,"COL Financial Group, Inc."," 15,284,122.00 "
JFC PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 14,978,368.00 "
JFC PM Equity,BANCO DE ORO - TRUST BANKING GROUP," 12,926,393.00 "
JFC PM Equity,GOVERNMENT SERVICE INSURANCE SYSTEM," 12,406,339.00 "
JFC PM Equity,MBTC - TRUST BANKING GROUP," 4,758,377.00 "
JFC PM Equity,BDO SECURITIES CORPORATION," 3,906,355.00 "
JFC PM Equity,"WEALTH SECURITIES, INC."," 3,795,862.00 "
JFC PM Equity,BPI SECURITIES CORPORATION," 3,501,236.00 "
JFC PM Equity,ABACUS SECURITIES CORPORATION," 2,416,856.00 "
JFC PM Equity,SOCIAL SECURITY SYSTEM," 2,059,790.00 "
JFC PM Equity,"SB EQUITIES,INC."," 1,982,227.00 "
JFC PM Equity,"A & A SECURITIES, INC."," 1,934,741.00 "
JFC PM Equity,LBP-TBG THIRD PARTY CUSTODIANSHIP & REGISTRY DEPT," 1,139,690.00 "
JFC PM Equity,"MAYBANK SECURITIES, INC."," 1,030,084.00 "
JFC PM Equity,"AB CAPITAL SECURITIES, INC."," 987,578.00 "
JFC PM Equity,"VENTURE SECURITIES, INC."," 866,398.00 "
JFC PM Equity,CHINA BANKING CORPORATION - TRUST GROUP," 825,920.00 "
JFC PM Equity,"RCBC SECURITIES, INC."," 811,644.00 "
JFC PM Equity,"TOWER SECURITIES, INC."," 792,441.00 "
JFC PM Equity,PNB TRUST BANKING GROUP," 711,890.00 "
JFC PM Equity,PAPA SECURITIES CORPORATION," 694,158.00 "
JFC PM Equity,UNICAPITAL SECURITIES INC.," 584,884.00 "
JFC PM Equity,PHILSTOCKS FINANCIAL INC," 543,313.00 "
JFC PM Equity,RCBC TRUST CORPORATION," 530,694.00 "
JFC PM Equity,VC SECURITIES CORPORATION," 419,903.00 "
JFC PM Equity,AP SECURITIES INCORPORATED," 387,789.00 "
JFC PM Equity,CHINA BANK SECURITIES CORPORATION," 365,354.00 "
JFC PM Equity,"YAO & ZIALCITA, INC."," 357,940.00 "
JFC PM Equity,"R. NUBLA SECURITIES, INC."," 315,376.00 "
JFC PM Equity,REGINA CAPITAL DEVELOPMENT CORPORATION," 312,528.00 "
JFC PM Equity,"SOLAR SECURITIES, INC."," 310,740.00 "
JFC PM Equity,QUALITY INVESTMENTS & SECURITIES CORPORATION," 288,742.00 "
JFC PM Equity,"S.J. ROXAS & CO., INC."," 280,247.00 "
JFC PM Equity,RCBC TRUST CORPORATION," 255,869.00 "
JFC PM Equity,"YU & COMPANY, INC."," 242,247.00 "
JFC PM Equity,"PNB SECURITIES, INC."," 238,857.00 "
JFC PM Equity,"CAMPOS, LANUZA & COMPANY, INC."," 217,670.00 "
JFC PM Equity,"R. COYIUTO SECURITIES, INC."," 211,526.00 "
JFC PM Equity,"E. CHUA CHIACO SECURITIES, INC."," 199,562.00 "
JFC PM Equity,"LUCKY SECURITIES, INC."," 194,220.00 "
JFC PM Equity,OPTIMUM SECURITIES CORPORATION," 190,617.00 "
JFC PM Equity,"BERNAD SECURITIES, INC."," 183,796.00 "
JFC PM Equity,"SUMMIT SECURITIES, INC."," 183,506.00 "
JFC PM Equity,THE FIRST RESOURCES MANAGEMENT & SECURITIES CORP.," 166,086.00 "
JFC PM Equity,"R. S. LIM & CO., INC."," 164,161.00 "
JFC PM Equity,"DA MARKET SECURITIES, INC."," 162,367.00 "
JFC PM Equity,"HDI SECURITIES, INC."," 161,758.00 "
JFC PM Equity,EASTERN SECURITIES DEVELOPMENT CORPORATION," 144,136.00 "
JFC PM Equity,"INVESTORS SECURITIES, INC,"," 134,893.00 "
JFC PM Equity,"EVERGREEN STOCK BROKERAGE & SEC., INC."," 123,180.00 "
JFC PM Equity,"BELSON SECURITIES, INC."," 118,138.00 "
JFC PM Equity,A. T. DE CASTRO SECURITIES CORP.," 116,465.00 "
JFC PM Equity,STANDARD SECURITIES CORPORATION," 115,808.00 "
JFC PM Equity,"ANSALDO, GODINEZ & CO., INC."," 114,105.00 "
JFC PM Equity,"GOLDEN TOWER SECURITIES & HOLDINGS, INC."," 108,350.00 "
JFC PM Equity,"LANDBANK SECURITIES, INC."," 106,998.00 "
JFC PM Equity,"PHILIPPINE EQUITY PARTNERS, INC."," 105,086.00 "
JFC PM Equity,UNITED COCONUT PLANTERS LIFE ASSURANCE CORPORATION," 104,000.00 "
JFC PM Equity,"IMPERIAL,DE GUZMAN,ABALOS & CO.,INC."," 101,386.00 "
JFC PM Equity,TRITON SECURITIES CORP.," 100,191.00 "
JFC PM Equity,ASIA UNITED BANK - TRUST & INVESTMENT GROUP," 99,160.00 "
JFC PM Equity,"FIRST INTEGRATED CAPITAL SECURITIES, INC."," 91,431.00 "
JFC PM Equity,MANDARIN SECURITIES CORPORATION," 86,794.00 "
JFC PM Equity,"AAA SOUTHEAST EQUITIES, INCORPORATED"," 86,309.00 "
JFC PM Equity,"ASIASEC EQUITIES, INC."," 82,980.00 "
JFC PM Equity,PAN ASIA SECURITIES CORP.," 79,215.00 "
JFC PM Equity,APEX PHILIPPINES EQUITIES CORPORATION," 72,609.00 "
JFC PM Equity,"GLOBALINKS SECURITIES & STOCKS, INC."," 68,766.00 "
JFC PM Equity,"RTG & COMPANY, INC."," 65,117.00 "
JFC PM Equity,"F. YAP SECURITIES, INC."," 63,248.00 "
JFC PM Equity,COL Inv Mgt Inc as Investment Company Adviser for Various Mutual Funds," 61,464.00 "
JFC PM Equity,"H. E. BENNETT SECURITIES, INC."," 61,316.00 "
JFC PM Equity,IGC SECURITIES INC.," 60,187.00 "
JFC PM Equity,UPCC SECURITIES CORP.," 60,131.00 "
JFC PM Equity,"JSG SECURITIES, INC."," 57,877.00 "
JFC PM Equity,"I. B. GIMENEZ SECURITIES, INC."," 56,161.00 "
JFC PM Equity,"CTS GLOBAL EQUITY GROUP, INC."," 55,570.00 "
JFC PM Equity,"TANSENGCO & CO., INC."," 53,925.00 "
JFC PM Equity,EASTWEST BANKING CORPORATION - TRUST DIVISION," 51,560.00 "
JFC PM Equity,"PREMIUM SECURITIES, INC."," 50,226.00 "
JFC PM Equity,ALPHA SECURITIES CORP.," 50,192.00 "
JFC PM Equity,"SunSecurities, Inc."," 48,210.00 "
JFC PM Equity,MERCANTILE SECURITIES CORP.," 45,510.00 "
JFC PM Equity,DAVID GO SECURITIES CORP.," 45,121.00 "
JFC PM Equity,"MERIDIAN SECURITIES, INC."," 43,851.00 "
JFC PM Equity,"GOLDSTAR SECURITIES, INC."," 41,481.00 "
JFC PM Equity,"EAGLE EQUITIES, INC."," 36,828.00 "
JFC PM Equity,"INTRA-INVEST SECURITIES, INC."," 33,941.00 "
JFC PM Equity,"DRAGONFI SECURITIES, INC."," 31,846.00 "
JFC PM Equity,"MDR SECURITIES, INC."," 30,021.00 "
JFC PM Equity,"FIRST ORIENT SECURITIES, INC."," 29,400.00 "
JFC PM Equity,"LOPEZ, LOCSIN, LEDESMA & CO., INC."," 28,608.00 "
JFC PM Equity,AB CAPITAL & INVESTMENT CORP. - TRUST & INVESTMENT DIV.," 25,320.00 "
JFC PM Equity,"SUPREME STOCKBROKERS, INC"," 23,100.00 "
JFC PM Equity,STRATEGIC EQUITIES CORP.," 22,921.00 "
JFC PM Equity,ASTRA SECURITIES CORPORATION," 21,109.00 "
JFC PM Equity,CUALOPING SECURITIES CORPORATION," 20,884.00 "
JFC PM Equity,"MACQUARIE CAPITAL SECURITIES (PHILIPPINES), INC."," 20,829.00 "
JFC PM Equity,LAND BANK OF THE PHILIPPINES-TRUST BANKING GROUP," 19,445.00 "
JFC PM Equity,"DIVERSIFIED SECURITIES, INC."," 18,453.00 "
JFC PM Equity,SALISBURY SECURITIES CORPORATION," 16,877.00 "
JFC PM Equity,"G.D. TAN & COMPANY, INC."," 15,736.00 "
JFC PM Equity,ASIA PACIFIC CAPITAL EQUITIES & SECURITIES CORP.," 15,547.00 "
JFC PM Equity,"BA SECURITIES, INC."," 15,503.00 "
JFC PM Equity,"SARANGANI SECURITIES, INC."," 15,336.00 "
JFC PM Equity,"PLATINUM SECURITIES, INC."," 15,110.00 "
JFC PM Equity,"ARMSTRONG SECURITIES, INC."," 14,686.00 "
JFC PM Equity,"GUILD SECURITIES, INC."," 14,519.00 "
JFC PM Equity,"AURORA SECURITIES, INC."," 13,549.00 "
JFC PM Equity,"SECURITIES SPECIALISTS, INC."," 12,904.00 "
JFC PM Equity,SSS PROVIDENT FUND," 12,000.00 "
JFC PM Equity,"FIDELITY SECURITIES, INC."," 10,911.00 "
JFC PM Equity,"LITONJUA SECURITIES, INC."," 10,700.00 "
JFC PM Equity,"I. ACKERMAN & CO., INC."," 8,920.00 "
JFC PM Equity,ALAKOR SECURITIES CORPORATION," 8,678.00 "
JFC PM Equity,"UCPB GENERAL INSURANCE CO., INC."," 7,400.00 "
JFC PM Equity,DEVELOPMENT BANK OF THE PHILIPPINES," 5,700.00 "
JFC PM Equity,"TIMSON SECURITIES, INC."," 5,633.00 "
JFC PM Equity,WONG SECURITIES CORPORATION," 5,500.00 "
JFC PM Equity,"WESTLINK GLOBAL EQUITIES, INC."," 5,322.00 "
JFC PM Equity,B. H. CHUA SECURITIES CORPORATION," 5,204.00 "
JFC PM Equity,"UOB KAY HIAN SECURITIES (PHILS.), INC."," 5,150.00 "
JFC PM Equity,"ASIAN CAPITAL EQUITIES, INC."," 4,919.00 "
JFC PM Equity,VALUE QUEST SECURITIES CORPORATION," 4,230.00 "
JFC PM Equity,"LUYS SECURITIES COMPANY, INC."," 4,081.00 "
JFC PM Equity,JAKA SECURITIES CORP.," 4,056.00 "
JFC PM Equity,"COHERCO SECURITIES, INC."," 3,750.00 "
JFC PM Equity,STERLING BANK OF ASIA TRUST GROUP," 3,210.00 "
JFC PM Equity,CENTURY SECURITIES CORPORATION," 3,070.00 "
JFC PM Equity,SINCERE SECURITIES CORPORATION," 2,194.00 "
JFC PM Equity,"CLSA PHILIPPINES, INC."," 2,000.00 "
JFC PM Equity,MARINO OLONDRIZ Y CIA," 1,547.00 "
JFC PM Equity,"NEW WORLD SECURITIES CO., INC.", 900.00 
JFC PM Equity,"E.SECURITIES, INC.", 672.00 
JFC PM Equity,"LARRGO SECURITIES CO., INC.", 656.00 
JFC PM Equity,BANK OF COMMERCE - TRUST SERVICES GROUP, 570.00 
JFC PM Equity,"EQUITIWORLD SECURITIES, INC.", 539.00 
JFC PM Equity,"R & L INVESTMENTS, INC.", 408.00 
JFC PM Equity,EAST WEST CAPITAL CORPORATION, 219.00 
JFC PM Equity,"PRYCE SECURITIES, INC.", 202.00 
JFC PM Equity,"BENJAMIN CO CA & CO., INC.", 171.00 
JFC PM Equity,TRENDLINE SECURITIES CORPORATION, 137.00 
JFC PM Equity,"LUNA SECURITIES, INC.", 107.00 
JFC PM Equity,JOLLIBEE FOODS CORP., 78.00 
JFC PM Equity,"HK SECURITIES, INC.", 47.00 
JFC PM Equity,"LIPPO SECURITIES, INC.", 31.00 
JFC PM Equity,"HIGHLAND SECURITIES PHIL., INC.", 27.00 
JFC PM Equity,STAR ALLIANCE SECURITIES CORP., 20.00 
JFC PM Equity,"SEEDBOX SECURITIES, INC.", 20.00 
JFC PM Equity,EQUITABLE SECURIITES (PHILS.) INC., 16.00 
JFC PM Equity,"MOUNT PEAK SECURITIES, INC.", 8.00 
JFC PM Equity,THE HONGKONG & SHANGHAI BANKING CORP. LTD. -OWN ACCOUNT, 7.00 
MER PM Equity,LAND BANK OF THE PHILIPPINES," 43,617,850.00 "
MER PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 30,061,797.00 "
MER PM Equity,CITIBANK N.A.," 23,709,513.00 "
MER PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 18,045,974.00 "
MER PM Equity,GOVERNMENT SERVICE INSURANCE SYSTEM," 17,050,673.00 "
MER PM Equity,STANDARD CHARTERED BANK," 16,502,287.00 "
MER PM Equity,BANCO DE ORO - TRUST BANKING GROUP," 9,053,846.00 "
MER PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 8,819,856.00 "
MER PM Equity,"COL Financial Group, Inc."," 4,492,049.00 "
MER PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 3,915,270.00 "
MER PM Equity,MBTC - TRUST BANKING GROUP," 3,246,010.00 "
MER PM Equity,BDO SECURITIES CORPORATION," 2,664,584.00 "
MER PM Equity,BPI SECURITIES CORPORATION," 2,481,154.00 "
MER PM Equity,"WEALTH SECURITIES, INC."," 2,351,908.00 "
MER PM Equity,"SB EQUITIES,INC."," 1,666,356.00 "
MER PM Equity,FIRST METRO SECURITIES BROKERAGE CORP.," 1,640,656.00 "
MER PM Equity,SOCIAL SECURITY SYSTEM," 1,369,225.00 "
MER PM Equity,"MAYBANK  SECURITIES, INC."," 1,333,004.00 "
MER PM Equity,"AB CAPITAL SECURITIES, INC."," 1,133,712.00 "
MER PM Equity,"FIRST ORIENT SECURITIES, INC."," 1,064,397.00 "
MER PM Equity,"MACQUARIE CAPITAL SECURITIES (PHILIPPINES), INC."," 688,404.00 "
MER PM Equity,"RTG & COMPANY, INC."," 673,961.00 "
MER PM Equity,LBP-TBG THIRD PARTY CUSTODIANSHIP & REGISTRY DEPT," 661,340.00 "
MER PM Equity,PHILSTOCKS FINANCIAL INC," 658,880.00 "
MER PM Equity,PNB TRUST BANKING GROUP," 641,990.00 "
MER PM Equity,CHINA BANKING CORPORATION - TRUST GROUP," 625,605.00 "
MER PM Equity,AB CAPITAL & INVESTMENT CORP. - TRUST & INVESTMENT DIV.," 603,854.00 "
MER PM Equity,"ANSALDO, GODINEZ & CO., INC."," 595,752.00 "
MER PM Equity,ABACUS SECURITIES CORPORATION," 499,107.00 "
MER PM Equity,"REGIS PARTNERS, INC."," 497,935.00 "
MER PM Equity,"TOWER SECURITIES, INC."," 429,107.00 "
MER PM Equity,"VENTURE SECURITIES, INC."," 420,216.00 "
MER PM Equity,"SUMMIT SECURITIES, INC."," 413,335.00 "
MER PM Equity,"YAO & ZIALCITA, INC."," 378,752.00 "
MER PM Equity,"A & A SECURITIES, INC."," 370,538.00 "
MER PM Equity,UNICAPITAL SECURITIES INC.," 364,547.00 "
MER PM Equity,"PHILIPPINE EQUITY PARTNERS, INC."," 334,113.00 "
MER PM Equity,RCBC TRUST CORPORATION," 328,481.00 "
MER PM Equity,A. T. DE CASTRO SECURITIES CORP.," 326,934.00 "
